ID,Stop name,Short name,Code,Authority name,Authority short name,Latitude,Longitude,Country name,Country code,Timezone,Service station
5215,Area di Servizio Gargano,,Area di Servizio Gargano,Area di Servizio Gargano,,41.591423,15.499401,Italy,IT,Europe/Rome,Yes
5219,Area di Servizio Secchia,,ads Secchia,ads Secchia,,44.662389,10.855838,Italy,IT,Europe/Rome,Yes
5231,Area di Servizio Limenella,,Area di Servizio Limenella,Area di Servizio Limenella,,45.448437,11.844952,Italy,IT,Europe/Rome,Yes
5313,RS Wildeshausen Süd,,RWS,RS Wildeshausen Süd,,52.91419,8.42424,Germany,DE,Europe/Berlin,Yes
5315,RS Wildeshausen Nord,,RWN,RS Wildeshausen Nord,,52.914726,8.426239,Germany,DE,Europe/Berlin,Yes
5319,Helsingborg (Ferry Terminal),Helsingborg (Ferry Terminal),HLF,Helsingborg (Ferry Terminal),Helsingborg (Ferry Terminal),56.040886,12.695981,Sweden,SE,Europe/Stockholm,Yes
5411,Aire de Sargès le Mans (sud),,SLM,Aire de Sargès le Mans,,48.055062,0.253064,France,FR,Europe/Paris,Yes
5412,Aire de Capellen,Aire de Capellen,opCAP,Aire de Capellen,Aire de Capellen,49.635861,5.971135,Luxemburg,LU,Europe/Luxembourg,Yes
5413,aire de Croixrault,,Croixrault,aire de Croixrault,,49.807717,1.97008,France,FR,Europe/Paris,Yes
5415,Aire de repos du Bosgouet,,BOSg,Aire de repos du Bosgouet,,49.360575,0.860001,France,FR,Europe/Paris,Yes
5417,Area di Servizio Badia Nuova (southbound),,ads Badia Nuova,Area di Servizio Badia Nuova,,44.15063643,11.19384099,Italy,IT,Europe/Rome,Yes
5426,Rasthof Lutterberg,,LBG,Rasthof Lutterberg,,51.370457,9.632681,Germany,DE,Europe/Berlin,Yes
5427,Pontchâteau,,PTCH,Pontchâteau,,47.44585,-2.091475,France,FR,Europe/Paris,Yes
5461,Area di Servizio Sangro,,Sangro,Area di Servizio Sangro,,42.200308,14.56184,Italy,IT,Europe/Rome,Yes
5464,Aire de service de Limours-Janvry,Aire de service de Limours-Janvry,opLMJ,Aire de service de Limours-Janvry,Aire de service de Limours-Janvry,48.636333,2.147311,France,FR,Europe/Paris,Yes
5465,Rastplatz San Bernadino,,SANBERN,Rastplatz San Bernadino,,46.463983,9.187436,Switzerland,CH,Europe/Zurich,Yes
5520,Area di Servizio Giove,,Area di Servizio Giove,Area di Servizio Giove,,42.499117,12.311743,Italy,IT,Europe/Rome,Yes
5607,Ceprano (uscita casello autostradale),,Ceprano,Ceprano (uscita casello autostradale),,41.541967,13.492304,Italy,IT,Europe/Rome,Yes
